0,1,2,3,4,5,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_correct,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceA_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceB_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceC_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.2942801,0.46296763,0.20705193,0.03570023
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.016735774,0.012534516,0.9575937,0.013136059
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.0032279473,0.0057432097,0.00033169342,0.99069715
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.6827159,0.27369553,0.01496578,0.028622806
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.0066692773,0.98210573,0.0029249948,0.00830005
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.05102644,0.20985281,0.4140944,0.32502642
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.010521012,0.028265888,0.95449936,0.006713737
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.036306594,0.92907256,0.0182561,0.016364662
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.022316977,0.01908872,0.00220968,0.9563846
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.14040977,0.122946896,0.017991105,0.7186522
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.1004841,0.6350791,0.2318144,0.03262241
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.029760376,0.008935685,0.9114647,0.04983925
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.96836275,0.015652126,0.0036033238,0.012381851
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.9107094,0.033959255,0.030679626,0.024651773
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.1377781,0.46247014,0.15982541,0.23992635
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.24945733,0.30326298,0.24367866,0.20360114
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.095849626,0.3820659,0.47921798,0.042866606
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.011202542,0.9697887,0.0071766176,0.011832242
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.032970082,0.021791892,0.0040310947,0.9412069
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.17042604,0.55445683,0.07741952,0.19769767
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.03383736,0.31854156,0.39954063,0.24808042
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.044142548,0.41231975,0.4782993,0.06523846
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.8915042,0.08163721,0.011399109,0.015459484
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.07819452,0.26452863,0.49808067,0.15919615
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.024727745,0.89935327,0.06464194,0.01127705
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.57541686,0.10561308,0.07910054,0.23986943
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.6173689,0.09768194,0.002297259,0.28265205
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.06737542,0.7187171,0.07457779,0.13932967
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.9625617,0.022814829,0.001725263,0.012898334
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.98519105,0.010525207,0.0006320878,0.0036516506
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.3021727,0.24091308,0.16174139,0.29517287
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.6275366,0.20057274,0.087623745,0.08426693
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.056288227,0.031329118,0.908446,0.0039366465
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,False,0.017197201,0.35360628,0.24685699,0.38233957
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.14449763,0.61793804,0.06462334,0.17294103
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.86414385,0.073184915,0.025292028,0.037379194
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.26696134,0.26905513,0.43332103,0.030662531
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.0080354875,0.014157916,0.00064809987,0.97715855
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,True,0.011964458,0.30856743,0.57199365,0.107474424
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.15375589,0.61769277,0.17019226,0.058359154
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,True,0.013375572,0.97505367,0.0046044523,0.0069663143
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.69412583,0.16616242,0.020960784,0.11875093
Which number has an absolute value greater than 5?,-6,-5,0,5,A,True,0.937218,0.048900664,0.0087674055,0.005113982
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,True,0.20618062,0.2545991,0.43308765,0.106132686
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,False,0.18274727,0.70054185,0.06828766,0.048423205
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,True,0.04004891,0.5931302,0.2571029,0.109718055
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,True,0.1570888,0.11583002,0.033972837,0.6931083
Compute 22 / 2 + 9.,10,11,20,2,C,False,0.16603531,0.53596854,0.21319355,0.08480254
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,True,0.076961614,0.06952903,0.013064116,0.8404452
Find the product of 5 • (−9).,14,−4,45,−45,D,True,0.005625852,0.042059746,0.10089608,0.8514184
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,True,0.48286644,0.19972223,0.22808994,0.089321315
