0,1,2,3,4,5,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_correct,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceA_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceB_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceC_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.22726063,0.20692316,0.27627864,0.28953755
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.2308003,0.17974745,0.42450672,0.16494553
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.2798698,0.2047571,0.3402351,0.17513804
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.22463197,0.24288504,0.35616738,0.17631564
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.22162832,0.1880935,0.28016445,0.31011376
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.2603664,0.2075822,0.35587868,0.17617272
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.23728135,0.23728135,0.25656232,0.268875
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.16033639,0.12584949,0.5509528,0.16286133
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.46753404,0.22257957,0.19796637,0.11192004
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.21126325,0.21967904,0.2568308,0.31222686
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.25819436,0.26639032,0.31634635,0.15906893
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.10308282,0.21822634,0.51137096,0.16731994
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.25977615,0.14686412,0.42165828,0.17170154
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.22778559,0.21066724,0.3697325,0.19181469
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.2310247,0.12174147,0.33877534,0.30845845
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.2078242,0.1805608,0.4133078,0.19830723
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.13729914,0.16177791,0.5559062,0.1450168
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.34797403,0.169589,0.23180068,0.2506363
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.24664982,0.4791588,0.16559285,0.10859844
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.262163,0.23684455,0.3527789,0.14821354
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.22536619,0.33306965,0.30803907,0.13352506
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.18570703,0.17720288,0.445488,0.191602
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.2430199,0.25073418,0.34810993,0.15813607
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.34318626,0.23958261,0.2889918,0.12823933
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.25302806,0.2065155,0.3596254,0.180831
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.2068037,0.38939044,0.21842824,0.18537763
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.28672045,0.1252589,0.40434065,0.18368003
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.39107016,0.17626914,0.2975105,0.13515024
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.4572585,0.18619815,0.21599361,0.14054972
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.36271656,0.17677394,0.26330397,0.19720557
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.24162471,0.27810833,0.3007068,0.17956023
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.30961442,0.17367795,0.29543614,0.22127146
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.16570188,0.14623138,0.5184353,0.16963138
